Report Date,Summary Indicator,Summary Indicator Value
11/16/2020,Confirmed Deaths,"3,533"
11/16/2020,Probable Deaths,273
11/16/2020,Number of Outbreaks,"1,417"
11/16/2020,Number of Outbreak Associated Cases,"30,341"
11/16/2020,Number of PCR Testing Encounters,"2,938,133"
11/16/2020,Current 7-Day Percent Positivity,7.2%
11/16/2020,MIS-C Cases,11
11/16/2020,MIS-C Deaths,0
11/17/2020,Total Cases,"206,762"
11/17/2020,New Cases,"2,125"
11/17/2020,Confirmed Cases,"187,287"
11/17/2020,Probable Cases,"19,475"
11/17/2020,Total Hospitalizations,"13,608"
11/17/2020,Confirmed Hospitalizations,"13,385"
11/17/2020,Probable Hospitalizations,223
11/17/2020,Total Deaths,"3,835"
11/17/2020,Confirmed Deaths,"3,557"
11/17/2020,Probable Deaths,278
11/17/2020,Number of Outbreaks,"1,440"
11/17/2020,Number of PCR Testing Encounters,"2,963,157"
11/17/2020,Number of Outbreak Associated Cases,"30,538"
11/17/2020,Current 7-Day Percent Positivity,7.4%
11/17/2020,MIS-C Cases,11
11/17/2020,MIS-C Deaths,0
11/18/2020,Total Cases,"208,833"
11/18/2020,New Cases,"2,071"
11/18/2020,Confirmed Cases,"188,853"
11/18/2020,Probable Cases,"19,980"
11/18/2020,Total Hospitalizations,"13,707"
11/18/2020,Confirmed Hospitalizations,"13,475"
11/18/2020,Probable Hospitalizations,232
11/18/2020,Total Deaths,"3,860"
11/18/2020,Confirmed Deaths,"3,569"
11/18/2020,Probable Deaths,291
11/18/2020,Number of Outbreaks,"1,453"
11/18/2020,Number of Outbreak Associated Cases,"31,047"
11/18/2020,Number of PCR Testing Encounters,"2,983,430"
11/18/2020,Current 7-Day Percent Positivity,7.0%
11/18/2020,MIS-C Cases,11
11/18/2020,MIS-C Deaths,0
11/22/2020,Total Cases,"217,796"
11/22/2020,New Cases,"2,117"
11/22/2020,Confirmed Cases,"195,499"
11/22/2020,Probable Cases,"22,297"
11/22/2020,Total Hospitalizations,"14,046"
11/22/2020,Confirmed Hospitalizations,"13,787"
11/22/2020,Probable Hospitalizations,259
11/22/2020,Total Deaths,"3,938"
11/22/2020,Confirmed Deaths,"3,628"
11/22/2020,Probable Deaths,310
11/22/2020,Number of Outbreaks,"1,478"
11/22/2020,Number of Outbreak Associated Cases,"31,712"
11/22/2020,Number of PCR Testing Encounters,"3,118,894"
11/22/2020,Current 7-Day Percent Positivity,7.0%
11/22/2020,MIS-C Cases,11
11/22/2020,MIS-C Deaths,0
11/23/2020,Total Cases,"221,038"
11/23/2020,New Cases,"3,242"
11/23/2020,Confirmed Cases,"198,142"
11/23/2020,Probable Cases,"22,896"
11/23/2020,Total Hospitalizations,"14,096"
11/23/2020,Confirmed Hospitalizations,"13,834"
11/23/2020,Probable Hospitalizations,262
11/23/2020,Total Deaths,"3,942"
11/23/2020,Confirmed Deaths,"3,629"
11/23/2020,Probable Deaths,313
11/23/2020,Number of Outbreaks,"1,492"
11/23/2020,Number of Outbreak Associated Cases,"32,079"
11/23/2020,Number of PCR Testing Encounters,"3,161,059"
11/23/2020,Current 7-Day Percent Positivity,7.2%
11/23/2020,MIS-C Cases,11
11/23/2020,MIS-C Deaths,0
11/24/2020,Total Cases,"223,582"
11/24/2020,New Cases,"2,544"
11/24/2020,Confirmed Cases,"200,284"
11/24/2020,Probable Cases,"23,298"
11/24/2020,Total Hospitalizations,"14,212"
11/24/2020,Confirmed Hospitalizations,"13,939"
11/24/2020,Probable Hospitalizations,273
11/24/2020,Total Deaths,"3,979"
11/24/2020,Confirmed Deaths,"3,660"
11/24/2020,Probable Deaths,319
11/24/2020,Number of Outbreaks,"1,499"
11/24/2020,Number of PCR Testing Encounters,"3,187,267"
11/24/2020,Number of Outbreak Associated Cases,"32,277"
11/24/2020,Current 7-Day Percent Positivity,7.2%
11/24/2020,MIS-C Cases,11
11/24/2020,MIS-C Deaths,0
11/27/2020,Total Cases,"230,444"
11/27/2020,New Cases,"1,544"
11/27/2020,Confirmed Cases,"205,632"
11/27/2020,Probable Cases,"24,812"
11/27/2020,Total Hospitalizations,"14,451"
11/27/2020,Confirmed Hospitalizations,"14,155"
11/27/2020,Probable Hospitalizations,296
11/27/2020,Total Deaths,"4,044"
11/27/2020,Confirmed Deaths,"3,704"
11/27/2020,Probable Deaths,340
11/27/2020,Number of Outbreaks,"1,511"
11/27/2020,Number of Outbreak Associated Cases,"33,009"
11/27/2020,Number of PCR Testing Encounters,"3,269,710"
11/27/2020,Current 7-Day Percent Positivity,7.2%
11/27/2020,MIS-C Cases,11
11/27/2020,MIS-C Deaths,0
11/25/2020,Total Cases,"226,300"
11/25/2020,New Cases,"2,718"
11/25/2020,Confirmed Cases,"202,426"
11/25/2020,Probable Cases,"23,874"
11/25/2020,Total Hospitalizations,"14,312"
11/25/2020,Confirmed Hospitalizations,"14,029"
11/25/2020,Probable Hospitalizations,283
11/25/2020,Total Deaths,"4,008"
11/25/2020,Confirmed Deaths,"3,679"
11/25/2020,Probable Deaths,329
11/25/2020,Number of Outbreaks,"1,506"
11/25/2020,Number of Outbreak Associated Cases,"32,471"
11/25/2020,Number of PCR Testing Encounters,"3,213,866"
11/25/2020,Current 7-Day Percent Positivity,7.5%
11/25/2020,MIS-C Cases,11
11/25/2020,MIS-C Deaths,0
11/28/2020,Total Cases,"233,617"
11/28/2020,New Cases,"3,173"
11/28/2020,Confirmed Cases,"208,169"
11/28/2020,Probable Cases,"25,448"
11/28/2020,Total Hospitalizations,"14,516"
11/28/2020,Confirmed Hospitalizations,"14,214"
11/28/2020,Probable Hospitalizations,302
11/28/2020,Total Deaths,"4,054"
11/28/2020,Confirmed Deaths,"3,715"
11/28/2020,Probable Deaths,339
11/28/2020,Number of Outbreaks,"1,515"
11/28/2020,Number of Outbreak Associated Cases,"33,181"
11/28/2020,Number of PCR Testing Encounters,"3,295,208"
11/28/2020,Current 7-Day Percent Positivity,7.2%
11/28/2020,MIS-C Cases,11
11/28/2020,MIS-C Deaths,0
11/29/2020,Total Cases,"235,942"
11/29/2020,New Cases,"2,325"
11/29/2020,Confirmed Cases,"209,783"
11/29/2020,Probable Cases,"26,159"
11/29/2020,Total Hospitalizations,"14,572"
11/29/2020,Confirmed Hospitalizations,"14,269"
11/29/2020,Probable Hospitalizations,303
11/29/2020,Total Deaths,"4,058"
11/29/2020,Confirmed Deaths,"3,719"
11/29/2020,Probable Deaths,339
11/29/2020,Number of Outbreaks,"1,518"
11/29/2020,Number of PCR Testing Encounters,"3,309,343"
11/29/2020,Number of Outbreak Associated Cases,"33,237"
11/29/2020,Current 7-Day Percent Positivity,7.4%
11/29/2020,MIS-C Cases,11
11/29/2020,MIS-C Deaths,0
11/30/2020,Total Cases,"237,835"
11/30/2020,New Cases,"1,893"
11/30/2020,Confirmed Cases,"211,254"
11/30/2020,Probable Cases,"26,581"
11/30/2020,Total Hospitalizations,"14,619"
11/30/2020,Confirmed Hospitalizations,"14,312"
11/30/2020,Probable Hospitalizations,307
11/30/2020,Total Deaths,"4,062"
11/30/2020,Confirmed Deaths,"3,723"
11/30/2020,Probable Deaths,339
11/30/2020,Number of Outbreaks,"1,522"
11/30/2020,Number of Outbreak Associated Cases,"33,392"
11/30/2020,Number of PCR Testing Encounters,"3,326,327"
11/30/2020,Current 7-Day Percent Positivity,7.5%
11/30/2020,MIS-C Cases,11
11/30/2020,MIS-C Deaths,0
12/01/2020,Total Cases,"240,063"
12/01/2020,New Cases,"2,228"
12/01/2020,Confirmed Cases,"212,916"
12/01/2020,Probable Cases,"27,147"
12/01/2020,Total Hospitalizations,"14,725"
12/01/2020,Confirmed Hospitalizations,"14,411"
12/01/2020,Probable Hospitalizations,314
12/01/2020,Total Deaths,"4,093"
12/01/2020,Confirmed Deaths,"3,750"
12/01/2020,Probable Deaths,343
12/01/2020,Number of Outbreaks,"1,539"
12/01/2020,Number of Outbreak Associated Cases,"33,810"
12/01/2020,Number of PCR Testing Encounters,"3,341,426"
12/01/2020,Current 7-Day Percent Positivity,8%
12/01/2020,MIS-C Cases,11
12/01/2020,MIS-C Deaths,0
12/02/2020,Total Cases,"242,480"
12/02/2020,New Cases,"2,417"
12/02/2020,Confirmed Cases,"214,386"
12/02/2020,Probable Cases,"28,094"
12/02/2020,Total Hospitalizations,"14,883"
12/02/2020,Confirmed Hospitalizations,"14,550"
12/02/2020,Probable Hospitalizations,333
12/02/2020,Total Deaths,"4,113"
12/02/2020,Confirmed Deaths,"3,768"
12/02/2020,Probable Deaths,345
12/02/2020,Number of Outbreaks,"1,546"
12/02/2020,Number of Outbreak Associated Cases,"34,161"
12/02/2020,Number of PCR Testing Encounters,"3,350,896"
12/02/2020,Current 7-Day Percent Positivity,8.3%
12/02/2020,MIS-C Cases,11
12/02/2020,MIS-C Deaths,0
12/03/2020,Total Cases,"244,503"
12/03/2020,New Cases,"2,023"
12/03/2020,Confirmed Cases,"215,768"
12/03/2020,Probable Cases,"28,735"
12/03/2020,Total Hospitalizations,"15,014"
12/03/2020,Confirmed Hospitalizations,"14,672"
12/03/2020,Probable Hospitalizations,342
12/03/2020,Total Deaths,"4,147"
12/03/2020,Confirmed Deaths,"3,798"
12/03/2020,Probable Deaths,349
12/03/2020,Number of Outbreaks,"1,565"
12/03/2020,Number of PCR Testing Encounters,"3,361,001"
12/03/2020,Number of Outbreak Associated Cases,"34,405"
12/03/2020,Current 7-Day Percent Positivity,8.8%
12/03/2020,MIS-C Cases,11
12/03/2020,MIS-C Deaths,0
12/04/2020,Total Cases,"247,380"
12/04/2020,New Cases,"2,877"
12/04/2020,Confirmed Cases,"217,588"
12/04/2020,Probable Cases,"29,792"
12/04/2020,Total Hospitalizations,"15,116"
12/04/2020,Confirmed Hospitalizations,"14,773"
12/04/2020,Probable Hospitalizations,343
12/04/2020,Total Deaths,"4,160"
12/04/2020,Confirmed Deaths,"3,805"
12/04/2020,Probable Deaths,355
12/04/2020,Number of Outbreaks,"1,582"
12/04/2020,Number of Outbreak Associated Cases,"34,810"
12/04/2020,Number of PCR Testing Encounters,"3,386,624"
12/04/2020,Current 7-Day Percent Positivity,9.5%
12/04/2020,MIS-C Cases,11
12/04/2020,MIS-C Deaths,0
12/05/2020,Total Cases,"251,173"
12/05/2020,New Cases,"3,793"
12/05/2020,Confirmed Cases,"220,510"
12/05/2020,Probable Cases,"30,663"
12/05/2020,Total Hospitalizations,"15,255"
12/05/2020,Confirmed Hospitalizations,"14,893"
12/05/2020,Probable Hospitalizations,362
12/05/2020,Total Deaths,"4,197"
12/05/2020,Confirmed Deaths,"3,819"
12/05/2020,Probable Deaths,378
12/05/2020,Number of Outbreaks,"1,601"
12/05/2020,Number of Outbreak Associated Cases,"35,276"
12/05/2020,Number of PCR Testing Encounters,"3,436,348"
12/05/2020,Current 7-Day Percent Positivity,10%
12/05/2020,MIS-C Cases,11
12/05/2020,MIS-C Deaths,0
12/06/2020,Total Cases,"255,053"
12/06/2020,New Cases,"3,880"
12/06/2020,Confirmed Cases,"223,379"
12/06/2020,Probable Cases,"31,674"
12/06/2020,Total Hospitalizations,"15,295"
12/06/2020,Confirmed Hospitalizations,"14,926"
12/06/2020,Probable Hospitalizations,369
12/06/2020,Total Deaths,"4,200"
12/06/2020,Confirmed Deaths,"3,822"
12/06/2020,Probable Deaths,378
12/06/2020,Number of Outbreaks,"1,605"
12/06/2020,Number of PCR Testing Encounters,"3,492,201"
12/06/2020,Number of Outbreak Associated Cases,"35,438"
12/06/2020,Current 7-Day Percent Positivity,10.6%
12/06/2020,MIS-C Cases,11
12/06/2020,MIS-C Deaths,0
12/07/2020,Total Cases,"258,870"
12/07/2020,New Cases,"3,817"
12/07/2020,Confirmed Cases,"226,426"
12/07/2020,Probable Cases,"32,444"
12/07/2020,Total Hospitalizations,"15,356"
12/07/2020,Confirmed Hospitalizations,"14,983"
12/07/2020,Probable Hospitalizations,373
12/07/2020,Total Deaths,"4,208"
12/07/2020,Confirmed Deaths,"3,829"
12/07/2020,Probable Deaths,379
12/07/2020,Number of Outbreaks,"1,605"
12/07/2020,Number of Outbreak Associated Cases,"35,499"
12/07/2020,Number of PCR Testing Encounters,"3,522,052"
12/07/2020,Current 7-Day Percent Positivity,10.8%
12/07/2020,MIS-C Cases,11
12/07/2020,MIS-C Deaths,0
12/08/2020,Total Cases,"262,730"
12/08/2020,New Cases,"3,860"
12/08/2020,Confirmed Cases,"229,553"
12/08/2020,Probable Cases,"33,177"
12/08/2020,Total Hospitalizations,"15,467"
12/08/2020,Confirmed Hospitalizations,"15,084"
12/08/2020,Probable Hospitalizations,383
12/08/2020,Total Deaths,"4,260"
12/08/2020,Confirmed Deaths,"3,875"
12/08/2020,Probable Deaths,385
12/08/2020,Number of Outbreaks,"1,612"
12/08/2020,Number of PCR Testing Encounters,"3,545,869"
12/08/2020,Number of Outbreak Associated Cases,"35,661"
12/08/2020,Current 7-Day Percent Positivity,10.9%
12/08/2020,MIS-C Cases,12
12/08/2020,MIS-C Deaths,0
12/09/2020,Total Cases,"267,128"
12/09/2020,New Cases,"4,398"
12/09/2020,Confirmed Cases,"232,940"
12/09/2020,Probable Cases,"34,188"
12/09/2020,Total Hospitalizations,"15,592"
12/09/2020,Confirmed Hospitalizations,"15,204"
12/09/2020,Probable Hospitalizations,388
12/09/2020,Total Deaths,"4,281"
12/09/2020,Confirmed Deaths,"3,894"
12/09/2020,Probable Deaths,387
12/09/2020,Number of Outbreaks,"1,626"
12/09/2020,Number of Outbreak Associated Cases,"35,999"
12/09/2020,Number of PCR Testing Encounters,"3,573,299"
12/09/2020,Current 7-Day Percent Positivity,10.9%
12/09/2020,MIS-C Cases,12
12/09/2020,MIS-C Deaths,0
12/10/2020,Total Cases,"271,043"
12/10/2020,New Cases,"3,915"
12/10/2020,Confirmed Cases,"235,720"
12/10/2020,Probable Cases,"35,323"
12/10/2020,Total Hospitalizations,"15,723"
12/10/2020,Confirmed Hospitalizations,"15,331"
12/10/2020,Probable Hospitalizations,392
12/10/2020,Total Deaths,"4,335"
12/10/2020,Confirmed Deaths,"3,940"
12/10/2020,Probable Deaths,395
12/10/2020,Number of Outbreaks,"1,651"
12/10/2020,Number of PCR Testing Encounters,"3,600,741"
12/10/2020,Number of Outbreak Associated Cases,"36,555"
12/10/2020,Current 7-Day Percent Positivity,11%
12/10/2020,MIS-C Cases,12
12/10/2020,MIS-C Deaths,0
12/11/2020,Total Cases,"274,438"
12/11/2020,New Cases,"3,395"
12/11/2020,Confirmed Cases,"238,281"
12/11/2020,Probable Cases,"36,157"
12/11/2020,Total Hospitalizations,"15,864"
12/11/2020,Confirmed Hospitalizations,"15,460"
12/11/2020,Probable Hospitalizations,404
12/11/2020,Total Deaths,"4,370"
12/11/2020,Confirmed Deaths,"3,973"
12/11/2020,Probable Deaths,397
12/11/2020,Number of Outbreaks,"1,657"
